Track,Artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Tag
DVD,Bernier,0.0932,0.833,0.801,2.8e-06,5,0.137,-2.249,0,0.0829,95.016,4,0.378,Gianluca
Zombie,The Cranberries,0.0158,0.309,0.649,0.00595,7,0.367,-8.994,1,0.035,166.915,4,0.313,Erika
Because the Night,Patti Smith,0.0542,0.466,0.763,0.0,11,0.119,-7.748,0,0.0391,123.539,4,0.473,Erika
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,0.0983,0.772,0.547,4.35e-06,6,0.107,-6.373,0,0.0541,130.099,4,0.0957,Gianluca
Nas Is Like,Nas,0.00602,0.634,0.845,5.29e-06,11,0.0598,-5.058,0,0.352,94.0,4,0.929,Giuliana
Nonstop,Drake,0.0165,0.912,0.412,0.0126,7,0.104,-8.074,1,0.123,154.983,4,0.423,Giuliana
Where Is My Mind? - Remastered,Pixies,0.0204,0.519,0.441,0.000453,4,0.076,-14.178,1,0.0353,81.334,4,0.25,Erika
Bandido,Myke Towers,0.122,0.713,0.617,0.0,8,0.0962,-4.637,1,0.0887,168.021,4,0.682,Gianluca
RITMO (Bad Boys For Life),Black Eyed Peas,0.0334,0.721,0.716,0.00084,10,0.237,-7.037,0,0.0657,104.994,4,0.667,Gianluca
Push It,Hardwell,0.00964,0.604,0.995,0.842,2,0.186,-5.288,1,0.102,140.011,4,0.0719,Andrea
21,Polo G,0.149,0.783,0.479,0.0,7,0.101,-10.646,1,0.541,176.027,4,0.533,Giuliana
Adicto (with Anuel AA & Ozuna),Tainy,0.017,0.734,0.836,1.64e-05,10,0.179,-4.803,0,0.0735,80.002,4,0.623,Gianluca
Knockin' On Heaven's Door,Guns N' Roses,0.0211,0.496,0.739,0.00444,6,0.106,-7.193,1,0.0415,132.41,4,0.378,Erika
To' To,Venesti,0.133,0.819,0.81,0.000123,5,0.273,-2.247,0,0.0711,93.985,4,0.597,Gianluca
I Am The Party,Dirty Signal,0.00986,0.668,0.948,0.855,1,0.416,-5.639,0,0.182,140.022,4,0.273,Andrea
Fiel,Los Legendarios,0.407,0.849,0.701,0.0,6,0.112,-4.407,0,0.06,98.005,4,0.505,Gianluca
Pussy & Millions (feat. Travis Scott),Drake,0.0623,0.749,0.63,0.0,4,0.353,-6.652,0,0.116,122.03,4,0.445,Giuliana
"Bist du bei mir (Formerly Attrib. J.S. Bach as BWV 508, Transcr. for Oboe, Solo Violin, Strings and Basso continuo)",Gottfried Heinrich Stölzel,0.979,0.188,0.0583,0.607,3,0.105,-18.702,1,0.0406,61.932,3,0.142,Laura
NOTHING IS REAL,Oshua,0.0457,0.705,0.602,0.0,2,0.111,-6.393,0,0.0547,74.994,4,0.148,Giuliana
My Generation,Limp Bizkit,0.00231,0.458,0.978,2.12e-06,11,0.111,-2.389,1,0.191,104.012,4,0.342,Erika
ขาดเธอ (แพท สุธาสินี & กัปตัน ภูธเนศ),กัปตัน ภูธเนศ,0.911,0.59,0.206,1.13e-05,10,0.112,-11.346,1,0.0257,73.962,4,0.283,Laura
La Jumpa,Arcángel,0.298,0.713,0.703,0.0,8,0.321,-5.769,1,0.194,123.06,4,0.576,Gianluca
Nothin',N.O.R.E.,0.317,0.791,0.863,1.13e-06,3,0.27,-6.118,0,0.151,97.035,4,0.742,Giuliana
Hate To Say I Told You So,The Hives,0.00126,0.459,0.931,0.00881,5,0.412,-5.024,1,0.0612,135.826,4,0.419,Erika
Lasciami stare,Måneskin,0.0841,0.669,0.972,0.0,11,0.0429,-2.158,0,0.0767,98.68,4,0.883,Erika
Danza Kuduro,Don Omar,0.0866,0.701,0.896,0.0,0,0.0572,-6.459,1,0.0814,130.067,4,0.896,Gianluca
"Fidelity Fiduciary Bank - From ""Mary Poppins""/Soundtrack Version",Dick Van Dyke,0.711,0.581,0.158,0.0,0,0.214,-18.461,1,0.287,127.061,4,0.418,Laura
Losar,Joep Beving,0.961,0.305,0.0384,0.902,5,0.0886,-28.605,0,0.0301,81.917,3,0.0856,Laura
"12 Songs, Op. 21: V. Lilacs (Transcr. Rachmaninoff for Solo Piano)",Sergei Rachmaninoff,0.995,0.168,0.00571,0.92,8,0.068,-36.245,1,0.0404,78.043,3,0.0705,Laura
Back for Rave - Original Mix,Teenage Mutants,0.000728,0.737,0.99,0.88,7,0.0957,-4.795,1,0.0717,129.021,3,0.184,Andrea
On the Nature of Daylight,Max Richter,0.154,0.065,0.341,0.854,10,0.109,-12.743,0,0.0482,65.38,4,0.0334,Laura
Diamonds,Magenta,0.00857,0.782,0.589,0.676,11,0.175,-5.635,1,0.108,87.504,4,0.679,Andrea
Willow,Marie Denis,0.985,0.434,0.0599,0.839,5,0.107,-27.627,1,0.0423,124.658,4,0.183,Laura
Rollin' (Air Raid Vehicle),Limp Bizkit,0.00591,0.603,0.933,0.0,1,0.206,-3.358,1,0.171,96.306,4,0.709,Erika
Lingerie,Tedua,0.0119,0.64,0.637,5.71e-05,9,0.0973,-7.816,1,0.0479,128.065,4,0.129,Giuliana
Where Are You Now (Techno),FUTURAMI,0.0506,0.74,0.962,0.00769,6,0.791,-4.515,0,0.241,139.983,4,0.756,Andrea
Dua Lipa,Jack Harlow,0.00161,0.833,0.652,0.0985,11,0.106,-6.942,1,0.0762,158.022,4,0.405,Giuliana
CHILDHOOD,blink-182,0.00194,0.327,0.733,0.000803,0,0.101,-4.543,1,0.0756,160.229,4,0.212,Erika
Right On,Lil Baby,0.0245,0.535,0.618,0.0,2,0.103,-5.668,1,0.382,165.991,4,0.211,Giuliana
Don't Look Back In Anger,Oasis,0.0255,0.354,0.913,4.11e-06,0,0.152,-3.584,1,0.0706,163.934,4,0.216,Erika
Pepas,Farruko,0.00776,0.762,0.766,6.98e-05,7,0.128,-3.955,1,0.0343,130.001,4,0.442,Gianluca
"Pelléas et Mélisande, Op. 80: 4. Sicilienne",Gabriel Fauré,0.938,0.164,0.0194,0.859,3,0.0939,-34.126,1,0.0434,101.708,3,0.0581,Laura
Mask Off,Future,0.0102,0.833,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.281,Giuliana
Weltschmerz,Klangkuenstler,4.28e-06,0.43,0.994,0.875,9,0.17,-6.816,0,0.105,139.999,4,0.0907,Andrea
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,0.162,0.76,0.658,0.0,7,0.195,-5.275,1,0.275,100.202,4,0.565,Gianluca
"Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso - Allegro con spirito",Pyotr Ilyich Tchaikovsky,0.976,0.212,0.119,0.907,1,0.087,-20.511,1,0.0366,84.346,3,0.0396,Laura
Reggaetón Lento (Bailemos),CNCO,0.4,0.761,0.838,0.0,4,0.176,-3.073,0,0.0502,93.974,4,0.71,Gianluca
Good Energy,Mha Iri,5.32e-05,0.709,0.998,0.861,4,0.093,-5.033,1,0.0704,150.008,4,0.432,Andrea
Out Of My Head,HUTS,0.028,0.625,0.803,0.0863,3,0.237,-6.242,0,0.045,142.963,4,0.412,Andrea
