Track,Artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Tag,predicted_Tag
Show Me How to Live,Audioslave,0.000336,0.433,0.854,0.000177,9.0,0.162,-3.868,1.0,0.0483,89.4,4.0,0.368,Erika,Erika
Veritas,Jay Lumen,0.0105,0.698,0.935,0.88,5.0,0.582,-6.703,1.0,0.0767,130.02,4.0,0.358,Andrea,Andrea
Detroit Rock City,KISS,0.00884,0.479,0.847,0.000206,0.0,0.144,-11.036,0.0,0.0984,90.654,4.0,0.317,Erika,Erika
I Wanna Be Yours,Arctic Monkeys,0.136,0.464,0.417,0.022,0.0,0.0974,-9.345,0.0,0.0256,67.528,4.0,0.479,Erika,Erika
The Fight Song,Marilyn Manson,0.000133,0.47,0.984,0.000224,1.0,0.212,-3.783,0.0,0.0939,130.055,4.0,0.0368,Erika,Giuliana
Stop,Jane's Addiction,0.0128,0.416,0.752,0.000527,9.0,0.595,-8.239,1.0,0.111,122.789,4.0,0.354,Erika,Erika
"Sensual, on Ecstasy - Sped Up Version",Dominik Saltevski,0.000356,0.639,0.997,0.828,2.0,0.146,-4.59,1.0,0.107,152.976,4.0,0.132,Andrea,Andrea
Circo Loco,Drake,0.0102,0.734,0.605,0.0,1.0,0.317,-8.476,1.0,0.0699,103.976,4.0,0.252,Giuliana,Giuliana
Sexy Movimiento,Wisin & Yandel,0.382,0.815,0.757,3.28e-06,10.0,0.147,-6.16,0.0,0.039,104.986,4.0,0.734,Gianluca,Gianluca
When It's Love,Van Halen,0.0494,0.563,0.623,0.000159,2.0,0.184,-12.327,1.0,0.0252,99.34,4.0,0.393,Erika,Erika
ORANGE SODA,Baby Keem,0.177,0.83,0.564,0.0,1.0,0.128,-7.822,1.0,0.235,85.042,4.0,0.107,Giuliana,Giuliana
The Humpty Dance,Digital Underground,0.0343,0.813,0.693,0.0,10.0,0.121,-8.0,0.0,0.266,103.508,4.0,0.618,Giuliana,Giuliana
"SUPPOSED TO BE LOVED (feat. Lil Baby, Future & Lil Uzi Vert)",DJ Khaled,0.00262,0.681,0.822,0.0,5.0,0.159,-5.68,0.0,0.227,98.952,4.0,0.427,Giuliana,Giuliana
So What'Cha Want,Beastie Boys,0.0764,0.695,0.978,3.12e-05,5.0,0.069,-3.556,0.0,0.274,171.093,4.0,0.706,Erika,Andrea
Hood Gone Love It (feat. Kendrick Lamar),Jay Rock,0.0879,0.61,0.856,0.0,11.0,0.289,-3.974,1.0,0.325,91.77,4.0,0.67,Giuliana,Gianluca
Posse In Effect,Beastie Boys,0.0271,0.666,0.912,0.0,6.0,0.24,-8.489,1.0,0.445,171.732,4.0,0.818,Erika,Giuliana
Lonely Day,System Of A Down,0.362,0.47,0.796,1.1e-06,8.0,0.133,-3.277,0.0,0.0336,113.108,3.0,0.215,Erika,Erika
Chun-Li,Nicki Minaj,0.278,0.686,0.73,4.76e-05,6.0,0.106,-5.077,0.0,0.374,128.943,5.0,0.474,Giuliana,Giuliana
Swang,Rae Sremmurd,0.2,0.681,0.314,9.82e-06,8.0,0.1,-9.319,1.0,0.0581,139.992,4.0,0.166,Giuliana,Giuliana
The House of House - 1994 Remix by Thomas Schumacher,Cherrymoon Trax,1.24e-05,0.566,0.957,0.854,0.0,0.097,-7.214,0.0,0.0353,138.004,4.0,0.0718,Andrea,Andrea
Policy of Truth - 2006 Remaster,Depeche Mode,0.00933,0.678,0.657,0.225,8.0,0.118,-7.3,1.0,0.028,114.209,4.0,0.358,Erika,Gianluca
I Go to Extremes,Billy Joel,0.0143,0.592,0.918,1.25e-05,5.0,0.287,-4.744,1.0,0.036,127.095,4.0,0.568,Erika,Erika
