Track,predicted_Tag
"A Little Less Sixteen Candles, A Little More ""Touch Me""",Andrea
A Warm Welcome,Andrea
ADESTE FIDELES,Andrea
Abyss of Light,Andrea
All Of It,Andrea
Ashika,Andrea
Axis Mundi,Andrea
Bad Habits (Techno),Andrea
Be Good to Yourself,Andrea
Better Now,Andrea
Beyond This World,Andrea
Bulls On Parade,Andrea
Chop,Andrea
Creo en Ti,Andrea
Dachlatte - Paul Seul Remix,Andrea
Dance With The Devil (The 6th Gate) - Reinier Zonneveld Remix,Andrea
Dead Man Walking,Andrea
Disconnect Me,Andrea
Disturbia (Techno),Andrea
Dopamine Rush,Andrea
'S Wonderful,Erika
A New Level,Erika
Aye (feat. Travis Scott),Erika
Ayer La Vi,Erika
Bohemian Rhapsody,Erika
Buddah Lovaz,Erika
Call on Me - Radio Mix,Erika
Can't Stop Lovin' You,Erika
Cowboys from Hell,Erika
Dein Ist Mein Ganzes Herz,Erika
Don't Stop,Erika
Drag the Waters,Erika
Dysentery Gary,Erika
El Doctorado,Erika
Fluorescent Adolescent,Erika
Funny Face,Erika
Ganas De Ti,Erika
Go With the Flow,Erika
Got Me Wrong,Erika
HYAENA,Erika
"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",Gianluca
7 Words,Gianluca
Always On Time,Gianluca
Aparentemente,Gianluca
Best Friend,Gianluca
Borro Cassette,Gianluca
Candy,Gianluca
Check Yo Self,Gianluca
DISPO,Gianluca
DUCKWORTH.,Gianluca
Doesn't Remind Me,Gianluca
Don't Believe The Hype,Gianluca
Down Rodeo,Gianluca
Einmal um die Welt 2k23,Gianluca
Feel So Close - Radio Edit,Gianluca
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Gianluca
Felina,Gianluca
Fell In Love With a Girl,Gianluca
Guatauba,Gianluca
Hate Me Now (feat. Diddy),Gianluca
18 and Life,Giuliana
223's (feat. 9lokknine),Giuliana
8 Mile,Giuliana
Agárrala - Remix,Giuliana
Atrévete-Te-Te,Giuliana
Bandoleros,Giuliana
Battlefield,Giuliana
Belong to the City,Giuliana
Black,Giuliana
Blame (feat. John Newman),Giuliana
CHORMA,Giuliana
Can I Kick It?,Giuliana
Chanel,Giuliana
Children of the Korn (feat. Ice Cube),Giuliana
Collide,Giuliana
Come Closer,Giuliana
Dale Don Dale,Giuliana
Devil In A New Dress,Giuliana
Die First (Techno),Giuliana
Diles,Giuliana
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Laura
"21 Hungarian Dances, WoO 1 - Orchestral Version: Hungarian Dance No. 11 in D minor (Orchestral Version)",Laura
"24 Preludes, Op. 11: No. 1 in C Major",Laura
"24 Préludes, Op. 28: No. 4 in E Minor",Laura
"6 Consolations, S. 172: No. 3 in D-Flat Major (Lento, placido)",Laura
"6 Pezzi, P. 44: No. 6. Internmezzo-serenata",Laura
A Time of Wonder,Laura
Amsterdam,Laura
"Après un rêve, Op. 7, No. 1",Laura
Arioso (Adagio in G) from Cantata BWV 156 (Arr. by Lloyd Webber),Laura
"Bagatelle in A Minor, WoO 59, ""Für Elise""",Laura
Bamboo,Laura
"Chopin Waltz A-flat Major, Op.42",Laura
"Concerto Grosso In D Major, Op. 6, No. 1 : I. Largo",Laura
Easter Parade: Steppin' Out with My Baby,Laura
Far Beyond Your Dreams - Instrumental,Laura
Flow Of The Ancients,Laura
Gianni Schicchi: O mio babbino caro,Laura
"Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga",Laura
Goodnight My Someone,Laura
